Team		Record		Δ	Rat		Pwr		Off		Def		HFA	SoS		
Georgia Tech	Atlantic Coast	12-19	0.3871	+6	113	1.63722	71	33.087	171	83.0174	42	22.7709	2.73588	25	34.5086	
Massachusetts	Atlantic 10	17-15	0.53125	-3	114	1.62549	127	28.581	77	87.0482	209	14.2361	3.83277	76	31.0537	
Colorado	Pac 12	16-18	0.47059	-8	115	1.6201	99	30.4099	60	88.0429	194	15.0731	5.9082	68	32.0536	
Oregon St	Pac 12	17-14	0.54839	+8	116	1.61662	120	29.1699	302	76.2481	15	25.6269	6.60622	88	29.9822	
Hawaii	Big West	22-13	0.62857	+3	117	1.61385	119	29.3822	61	87.9172	210	14.1698	4.21326	158	25.5251	
Akron	Mid-American	21-14	0.6	-2	118	1.61002	106	30.1622	207	81.5086	68	21.3561	4.0356	148	25.9626	
Sam Houston St	Southland	26-9	0.74286	-16	119	1.60524	105	30.1934	154	83.5043	98	19.3914	3.88091	297	21.3039	
Wake Forest	Atlantic Coast	13-19	0.40625	+5	120	1.604	107	30.0996	51	89.0015	220	13.8002	2.84244	45	33.5439	
UTEP	Conference USA	22-11	0.66667		121	1.6035	122	29.1033	149	83.6085	114	18.1982	5.04778	137	26.4199	
Memphis	American Athletic	18-14	0.5625	-5	122	1.60164	111	29.9455	102	85.4647	138	17.1851	4.24292	102	28.6816	
Cleveland St	Horizon	19-15	0.55882	+8	123	1.58718	89	31.3517	169	83.054	73	21.0011	3.35311	132	26.5967	
Santa Barbara	Big West	19-14	0.57576	-14	124	1.5814	123	28.997	115	85.0246	151	16.6733	4.56518	119	27.1826	
UNLV	Mountain West	18-15	0.54545	+5	125	1.58116	104	30.201	91	86.0274	145	16.8745	4.82641	99	28.8987	
Ga Southern	Sun Belt	22-9	0.70968	+2	126	1.58006	139	27.8937	280	78.1528	46	22.442	3.19495	290	21.4924	
TN Martin	OH Valley	21-13	0.61765	+61	127	1.5792	146	27.53	148	83.6791	153	16.5552	2.71095	213	23.9968	
ULL	Sun Belt	22-14	0.61111	+8	128	1.57842	118	29.386	38	90.6003	266	11.4893	2.75733	211	24.1115	
Pepperdine	West Coast	18-14	0.5625	-40	129	1.57118	132	28.3124	273	78.4514	45	22.5624	2.8293	112	27.6854	
Northern Arizona	Big Sky	23-15	0.60526	+47	130	1.56803	155	26.5233	193	82.2087	141	17.0192	2.98778	207	24.183	
Coastal Car	Big South	24-10	0.70588	+7	131	1.56272	137	27.9338	147	83.6834	144	16.9554	3.85182	313	20.6244	
Nebraska	Big 10	13-18	0.41935	+7	132	1.55955	117	29.4363	251	79.3981	43	22.7419	4.43263	58	32.6702	
Utah St	Mountain West	18-13	0.58065		133	1.55771	124	28.925	135	84.4026	137	17.2235	4.45971	126	26.9044	
Bowling Green	Mid-American	21-12	0.63636	-19	134	1.54286	138	27.9121	163	83.2798	132	17.3355	2.50302	147	25.9994	
Stony Brook	America East	23-12	0.65714	-13	135	1.54158	141	27.6793	206	81.5623	103	18.8204	1.72564	237	23.3243	
WKU	Conference USA	20-12	0.625	+1	136	1.54052	135	28.0504	136	84.3935	158	16.3592	4.47471	169	25.1373	
William & Mary	Colonial	20-13	0.60606	-2	137	1.53261	130	28.4019	65	87.7134	230	13.3929	1.93607	180	24.8184	
NC Central	Mid-Eastern AC	25-8	0.75758	+3	138	1.52761	131	28.3359	267	78.8429	50	22.1997	2.22379	323	19.8205	
High Point	Big South	23-10	0.69697	+8	139	1.52461	136	27.9678	105	85.2663	183	15.407	3.17842	244	22.9604	
ULM	Sun Belt	24-14	0.63158	+10	140	1.5236	151	27.059	261	79.1491	81	20.6134	3.04091	235	23.3448	
