Team		Record		Δ	Rat		Pwr		Off		Def		HFA	SoS		SSF		EW	EL	
Georgetown	Big East	14-18	0.4375	-12	89	1.83293	72	36.4728	95	92.3903	79	20.8392	3.25541	31	37.5515	32	37.5515	0	0	
FL Gulf Coast	Atlantic Sun	26-7	0.78788	+13	90	1.82843	96	33.2841	165	89.2871	80	20.7579	2.92918	229	25.042	230	25.042	0	0	
Belmont	OH Valley	22-6	0.78571	-18	91	1.81298	94	33.5095	94	92.4022	141	17.8657	2.43694	167	27.0117	168	27.0117	0	0	
St Bonaventure	Atlantic 10	19-11	0.63333	-4	92	1.80982	86	34.7327	78	93.2859	133	18.2102	2.19474	102	30.8381	103	30.8192	0.6469	0.3531	
Texas	Big 12	11-21	0.34375	+12	93	1.7845	80	35.559	199	87.7069	42	24.608	3.86993	10	39.4866	10	39.7636	0.1175	0.8825	
Memphis	American Athletic	19-12	0.6129	+2	94	1.78386	92	34.2111	101	92.1502	116	18.8222	4.34205	94	31.4642	92	31.5722	0.4773	0.5227	
G Washington	Atlantic 10	18-13	0.58065	+14	95	1.78069	114	32.1481	158	89.5629	102	19.3455	3.51542	92	31.7052	94	31.4537	0.7752	0.2248	
Mississippi St	Southeastern	16-15	0.51613	+11	96	1.77598	83	34.8711	122	91.2448	87	20.3824	3.39429	72	34.0116	71	34.1459	0.3835	0.6165	
St John's	Big East	14-18	0.4375	+7	97	1.77493	95	33.3079	41	96.6898	228	13.3746	3.36244	53	36.0254	49	36.4306	0.0619	0.9381	
Nebraska	Big 10	12-19	0.3871	-11	98	1.76256	97	33.2697	140	90.3516	100	19.6728	3.02319	26	38.0215	28	38.0215	0	0	
Fresno St	Mountain West	19-11	0.63333	+17	99	1.75331	102	33.0785	123	91.2341	119	18.6007	4.28296	118	29.3318	117	29.3986	0.557	0.443	
Davidson	Atlantic 10	15-14	0.51724	+8	100	1.75283	85	34.8608	90	92.6713	111	18.9505	2.52453	79	33.3511	80	33.2617	0.6386	0.3614	
George Mason	Atlantic 10	19-12	0.6129	+5	101	1.75059	106	32.7876	77	93.3107	174	16.2388	2.07154	105	30.3862	106	30.3091	0.6616	0.3384	
NC State	Atlantic Coast	15-17	0.46875	-10	102	1.73474	113	32.2586	45	96.2912	244	12.7219	4.50861	57	35.7726	56	35.7726	0	0	
