Team		Record		Δ	Rat		Pwr		Off		Def		HFA	SoS		
West Virginia	Big East	14-14	0.5	+4	103	0.649466	108	6.72729	89	75.5522	151	2.07431	3.38662	66	8.79501	
Memphis	Conference USA	15-16	0.48387	-2	104	0.644692	95	7.68844	83	75.8859	141	2.70507	4.74416	83	7.92594	
Oregon St	Pac 10	13-16	0.44828	-4	105	0.639811	100	7.40596	148	72.4141	90	5.88496	4.10041	45	10.4329	
Detroit	Midwestern CC	20-12	0.625	+7	106	0.621901	110	6.55738	164	71.4522	87	5.99119	7.0995	140	4.51574	
Rutgers	Big East	15-16	0.48387	+2	107	0.618533	83	8.74597	114	74.1	95	5.55034	4.16507	75	8.30795	
St Joseph's PA	Atlantic 10	13-16	0.44828		108	0.613762	94	7.78306	99	75.2092	127	3.46559	4.34542	59	9.40246	
South Alabama	Sun Belt	20-10	0.66667	+1	109	0.610939	129	5.31634	189	70.1501	86	6.06991	4.2962	179	2.31966	
Alabama	Southeastern	13-16	0.44828	+2	110	0.599694	104	7.19046	77	76.3295	155	1.75559	6.53825	57	9.55394	
Siena	Metro Atlantic	24-9	0.72727	+19	111	0.590477	123	5.58906	6	85.0137	300	-8.53296	3.85379	205	0.794456	
Appalachian St	Southern	23-9	0.71875	-8	112	0.587894	115	6.20578	65	77.3374	195	-0.237349	4.66247	196	1.13826	
Lafayette	Patriot League	24-7	0.77419	-10	113	0.581865	132	5.14627	97	75.2955	176	0.751664	3.37727	254	-1.8478	
Navy	Patriot League	23-6	0.7931	-3	114	0.57731	116	6.12959	80	76.1675	172	0.866594	3.66573	270	-2.64021	
Mississippi St	Southeastern	14-16	0.46667		115	0.576788	92	8.02365	84	75.8706	132	3.04639	5.61023	80	8.0709	
Montana	Big Sky	17-11	0.60714		116	0.563064	121	5.62537	127	73.5891	134	2.93405	3.77178	149	4.14831	
E Michigan	Mid-American	15-13	0.53571	+1	117	0.556382	120	5.70642	125	73.7111	136	2.88413	4.40324	91	7.59349	
Sam Houston St	Southland	22-7	0.75862	-4	118	0.554327	143	4.40676	138	72.8993	149	2.40851	2.76725	216	0.115909	
Georgia Tech	Atlantic Coast	13-17	0.43333	+6	119	0.547266	106	6.79012	133	73.2825	110	4.39296	4.53374	65	9.02567	
Weber St	Big Sky	18-10	0.64286	-1	120	0.529904	133	5.10638	57	77.8646	224	-1.86032	4.81203	166	3.07109	
Hawaii	Western Athletic	17-12	0.58621	-4	121	0.52835	130	5.19848	68	77.0741	207	-0.989286	5.51505	136	4.9253	
Central Conn	Northeast	25-6	0.80645		122	0.527341	136	4.91728	146	72.6511	131	3.15488	2.2368	276	-3.12173	
Pittsburgh	Big East	13-15	0.46429	+5	123	0.524378	118	5.82948	177	70.6235	82	6.10672	3.73757	84	7.91777	
George Mason	Colonial	19-11	0.63333	-1	124	0.511273	131	5.18556	111	74.445	159	1.62607	5.05719	173	2.70181	
UNC Wilmington	Colonial	18-13	0.58065	-4	125	0.506812	114	6.21229	294	62.6414	6	14.4675	5.34476	144	4.37912	
Col Charleston	Southern	24-6	0.8	-2	126	0.502425	122	5.61295	240	67.3253	45	9.18628	5.06343	259	-2.05294	
Evansville	Missouri Val	18-12	0.6	-7	127	0.485047	139	4.65192	119	73.9068	156	1.63256	6.03507	139	4.53861	
Richmond	Colonial	18-12	0.6	+1	128	0.483515	112	6.34615	206	69.1541	56	8.08116	4.1534	158	3.54331	
Washington	Pac 10	10-20	0.33333	-3	129	0.474581	138	4.7102	155	71.8525	118	3.75215	3.76309	35	11.0982	
Austin Peay	OH Valley	18-10	0.64286	+8	130	0.470708	119	5.73849	137	73.0332	125	3.58478	4.21924	171	2.80511	
Bradley	Missouri Val	14-16	0.46667	-4	131	0.468549	111	6.48416	202	69.5142	61	7.85272	6.59431	98	7.19901	
James Madison	Colonial	20-9	0.68966	-1	132	0.464234	162	2.22456	163	71.5423	160	1.57213	4.9878	200	0.977678	
Virginia Tech	Atlantic 10	16-15	0.51613	+1	133	0.456144	127	5.36422	250	66.6074	39	9.63246	5.3269	118	5.94537	
Fordham	Atlantic 10	14-15	0.48276	-1	134	0.452796	142	4.53768	39	79.2459	253	-3.81459	3.93763	107	6.76997	
E Washington	Big Sky	15-12	0.55556	+1	135	0.444237	141	4.57798	126	73.6682	154	1.81077	4.99028	135	5.069	
Iona	Metro Atlantic	20-11	0.64516	-1	136	0.439883	147	3.63682	81	75.9741	215	-1.46075	4.10351	199	1.09088	
UAB	Conference USA	14-14	0.5	-5	137	0.438314	146	3.71568	79	76.1919	218	-1.57109	5.80858	99	7.16098	
Princeton	Ivy League	19-11	0.63333	-1	138	0.418758	126	5.41172	303	61.3982	5	14.915	3.9536	189	1.77177	
N Illinois	Mid-American	13-15	0.46429	+2	139	0.416893	128	5.32167	153	71.9625	112	4.2522	5.15953	97	7.37869	
E Illinois	OH Valley	17-12	0.58621	+2	140	0.4089	135	4.91982	38	79.4593	245	-3.66532	4.86852	153	3.79193	
Maine	America East	24-7	0.77419	-1	141	0.404993	157	2.68453	128	73.5389	188	0.047561	3.61435	288	-3.59464	
Delaware	America East	24-8	0.75	-3	142	0.399955	153	2.95686	113	74.1722	197	-0.314213	4.20419	253	-1.82334	
Cleveland St	Midwestern CC	16-14	0.53333	+2	143	0.388558	125	5.42439	60	77.7393	213	-1.42255	6.23832	142	4.47225	
WI Milwaukee	Midwestern CC	15-14	0.51724	+5	144	0.37109	144	4.37641	95	75.4196	193	-0.145878	6.87193	119	5.92595	
Texas Tech	Big 12	12-16	0.42857	-2	145	0.351177	137	4.79196	136	73.1604	144	2.53645	4.92901	82	7.97875	
Boston College	Big East	11-19	0.36667	+2	146	0.345843	124	5.47004	161	71.6111	105	4.76734	3.34964	70	8.52355	
Providence	Big East	11-19	0.36667	+4	147	0.345289	145	3.89642	233	67.6293	70	7.16189	2.49128	89	7.6659	
Georgia	Southeastern	10-20	0.33333	+4	148	0.341142	140	4.58204	101	75.1229	181	0.346545	5.07729	44	10.4607	
Baylor	Big 12	14-15	0.48276	-3	149	0.332132	152	3.11831	228	67.9212	83	6.09647	4.88903	121	5.84767	
Samford	Trans America	21-11	0.65625	-6	150	0.331086	134	5.01389	198	69.6115	78	6.29661	2.72523	237	-0.954496	
San Jose St	Western Athletic	15-15	0.5	-4	151	0.327044	148	3.36445	307	60.1407	7	14.1059	4.99795	129	5.34878	
UTEP	Western Athletic	13-15	0.46429	-2	152	0.325212	117	6.06129	55	77.9123	206	-0.974056	5.32488	114	6.31955	
Northern Iowa	Missouri Val	14-15	0.48276	+1	153	0.256886	151	3.12897	256	66.1913	62	7.82374	5.88015	124	5.66291	
Winthrop	Big South	21-9	0.7	-1	154	0.240351	161	2.41199	210	68.8306	108	4.48043	5.29611	257	-2.01397	
Tennessee Tech	OH Valley	16-12	0.57143	+4	155	0.233085	150	3.23656	86	75.8372	221	-1.71902	4.72001	202	0.910236	
ULM	Southland	19-9	0.67857	-1	156	0.231779	163	2.20168	67	77.2886	257	-4.18039	3.15396	229	-0.581576	
